Year,Type,Country,Area,Activity,Reference
2018.0,Boating,USA,California,Paddling,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.25-Wolfe.pdf
2018.0,Unprovoked,USA,Georgia,Standing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.18-McNeely.pdf
2018.0,Invalid,USA,Hawaii,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.09-Denges.pdf
2018.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.08-Arrawarra.pdf
2018.0,Provoked,MEXICO,Colima,Free diving,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.04-Ramos.pdf
2018.0,Unprovoked,AUSTRALIA,New South Wales,Kite surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.b-FlatRock.pdf
2018.0,Unprovoked,BRAZIL,Pernambuco,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.a-daSilva.pdf
2018.0,Unprovoked,USA,Florida,Fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.27-Ponce.pdf
2018.0,Unprovoked,USA,Florida,Walking,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.b-High.pdf
2018.0,Unprovoked,USA,Florida,Standing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.a-DaytonaBeach.pdf
2018.0,Provoked,AUSTRALIA,Queensland,Feeding sharks,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf
2018.0,Unprovoked,USA,South Carolina,Boogie boarding,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf
2018.0,Unprovoked,USA,South Carolina,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf
2018.0,Invalid,ENGLAND,Cornwall,Fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf
2018.0,Provoked,AUSTRALIA,Westerm Australia,Feeding sharks,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf
2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf
2018.0,Questionable,AUSTRALIA,New South Wales,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf
2018.0,Unprovoked,THAILAND,Hua Hin,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf
2018.0,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf
2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf
2018.0,Questionable,AUSTRALIA,New South Wales,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf
2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf
2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf
2018.0,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf
2018.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf
2018.0,Unprovoked,USA,Hawaii,Body boarding,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf
2018.0,Unprovoked,THAILAND,Hua Hin,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.d-Thailand.pdf
2018.0,Unprovoked,BRAZIL,Pernambuco,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.c-deMelo.pdf
2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf
2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf
2018.0,Unprovoked,BAHAMAS,New Providence,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.14-Rowan.pff
