uid,uf,state,cases,deaths,datetime,casesday,deathsday,latitude,longitude
35,SP,São Paulo,1062634,37992,2020-10-17T21:35:37.785Z,0.0,0.0,-22.19,-48.79
35,SP,São Paulo,1063602,38020,2020-10-18T22:35:40.336Z,968.0,28.0,-22.19,-48.79
35,SP,São Paulo,1064039,38035,2020-10-19T22:36:08.966Z,437.0,15.0,-22.19,-48.79
35,SP,São Paulo,1068962,38246,2020-10-20T22:35:34.412Z,4923.0,211.0,-22.19,-48.79
35,SP,São Paulo,1073261,38371,2020-10-22T17:36:15.361Z,4299.0,125.0,-22.19,-48.79
35,SP,São Paulo,1083641,38608,2020-10-23T22:37:00.872Z,10380.0,237.0,-22.19,-48.79
35,SP,São Paulo,1089255,38726,2020-10-24T22:36:56.169Z,5614.0,118.0,-22.19,-48.79
35,SP,São Paulo,1091980,38747,2020-10-25T21:37:16.540Z,2725.0,21.0,-22.19,-48.79
35,SP,São Paulo,1092843,38753,2020-10-26T22:37:35.097Z,863.0,6.0,-22.19,-48.79
35,SP,São Paulo,1098207,38885,2020-10-27T22:38:45.416Z,5364.0,132.0,-22.19,-48.79
35,SP,São Paulo,1103582,39007,2020-10-28T22:39:23.764Z,5375.0,122.0,-22.19,-48.79
35,SP,São Paulo,1108860,39119,2020-10-30T17:33:54.830Z,5278.0,112.0,-22.19,-48.79
35,SP,São Paulo,1116127,39311,2020-10-31T22:34:03.623Z,7267.0,192.0,-22.19,-48.79
35,SP,São Paulo,1117147,39331,2020-11-01T21:34:18.932Z,1020.0,20.0,-22.19,-48.79
35,SP,São Paulo,1117795,39346,2020-11-02T22:34:06.881Z,648.0,15.0,-22.19,-48.79
35,SP,São Paulo,1118544,39364,2020-11-03T22:34:16.852Z,749.0,18.0,-22.19,-48.79
35,SP,São Paulo,1123299,39549,2020-11-04T22:34:18.740Z,4755.0,185.0,-22.19,-48.79
35,SP,São Paulo,1156652,40202,2020-11-13T17:34:12.016Z,33353.0,653.0,-22.19,-48.79
35,SP,São Paulo,1167422,40549,2020-11-14T22:34:20.699Z,10770.0,347.0,-22.19,-48.79
