uf,dose,mes,qtd,latitude,longitude
AC,1,2021-01,10856,-8.77,-70.55
AC,1,2021-02,16721,-8.77,-70.55
AC,1,2021-03,41509,-8.77,-70.55
AC,1,2021-04,29844,-8.77,-70.55
AC,1,2021-05,43581,-8.77,-70.55
AL,1,2021-01,37822,-9.62,-36.82
AL,1,2021-02,41230,-9.62,-36.82
AL,1,2021-03,218253,-9.62,-36.82
AL,1,2021-04,169047,-9.62,-36.82
AL,1,2021-05,256729,-9.62,-36.82
AM,1,2021-01,86762,-3.47,-65.1
AM,1,2021-02,163009,-3.47,-65.1
AM,1,2021-03,185599,-3.47,-65.1
AM,1,2021-04,155968,-3.47,-65.1
AM,1,2021-05,122531,-3.47,-65.1
AP,1,2021-01,11527,1.4100000000000001,-51.77
AP,1,2021-02,13409,1.4100000000000001,-51.77
AP,1,2021-03,35871,1.4100000000000001,-51.77
AP,1,2021-04,33738,1.4100000000000001,-51.77
AP,1,2021-05,40563,1.4100000000000001,-51.77
BA,1,2021-01,198806,-13.29,-41.71
BA,1,2021-02,278766,-13.29,-41.71
BA,1,2021-03,1155604,-13.29,-41.71
BA,1,2021-04,682795,-13.29,-41.71
BA,1,2021-05,868304,-13.29,-41.71
CE,1,2021-01,113428,-5.2,-39.53
CE,1,2021-02,170811,-5.2,-39.53
CE,1,2021-03,524982,-5.2,-39.53
CE,1,2021-04,367882,-5.2,-39.53
CE,1,2021-05,301275,-5.2,-39.53
DF,1,2021-01,46424,-15.83,-47.86
DF,1,2021-02,77069,-15.83,-47.86
DF,1,2021-03,172702,-15.83,-47.86
DF,1,2021-04,133723,-15.83,-47.86
DF,1,2021-05,163740,-15.83,-47.86
ES,1,2021-01,57527,-19.19,-40.34
ES,1,2021-02,80692,-19.19,-40.34
ES,1,2021-03,265907,-19.19,-40.34
ES,1,2021-04,294089,-19.19,-40.34
ES,1,2021-05,323609,-19.19,-40.34
GO,1,2021-01,96547,-15.98,-49.86
GO,1,2021-02,132321,-15.98,-49.86
GO,1,2021-03,420283,-15.98,-49.86
GO,1,2021-04,326551,-15.98,-49.86
GO,1,2021-05,499033,-15.98,-49.86
MA,1,2021-01,70925,-5.42,-45.44
MA,1,2021-02,93148,-5.42,-45.44
MA,1,2021-03,291381,-5.42,-45.44
MA,1,2021-04,452132,-5.42,-45.44
MA,1,2021-05,357622,-5.42,-45.44
MG,1,2021-01,191049,-18.1,-44.38
MG,1,2021-02,397688,-18.1,-44.38
MG,1,2021-03,1410229,-18.1,-44.38
MG,1,2021-04,1362405,-18.1,-44.38
MG,1,2021-05,1248744,-18.1,-44.38
MS,1,2021-01,61247,-20.51,-54.54
MS,1,2021-02,57125,-20.51,-54.54
MS,1,2021-03,200391,-20.51,-54.54
MS,1,2021-04,182993,-20.51,-54.54
MS,1,2021-05,287523,-20.51,-54.54
