uf,vacina,mes,qtd,latitude,longitude
AC,ASTRAZENECA,2021-01,840,-8.77,-70.55
AC,ASTRAZENECA,2021-02,9403,-8.77,-70.55
AC,ASTRAZENECA,2021-03,20481,-8.77,-70.55
AC,ASTRAZENECA,2021-04,12962,-8.77,-70.55
AC,ASTRAZENECA,2021-05,41796,-8.77,-70.55
AC,CORONAVAC,2021-01,10033,-8.77,-70.55
AC,CORONAVAC,2021-02,15778,-8.77,-70.55
AC,CORONAVAC,2021-03,27769,-8.77,-70.55
AC,CORONAVAC,2021-04,38596,-8.77,-70.55
AL,ASTRAZENECA,2021-01,5835,-9.62,-36.82
AL,ASTRAZENECA,2021-02,15465,-9.62,-36.82
AL,ASTRAZENECA,2021-03,77910,-9.62,-36.82
AL,ASTRAZENECA,2021-04,93861,-9.62,-36.82
AL,ASTRAZENECA,2021-05,236555,-9.62,-36.82
AL,CORONAVAC,2021-01,32067,-9.62,-36.82
AL,CORONAVAC,2021-02,62293,-9.62,-36.82
AL,CORONAVAC,2021-03,169870,-9.62,-36.82
AL,CORONAVAC,2021-04,217949,-9.62,-36.82
AM,ASTRAZENECA,2021-01,22164,-3.47,-65.1
AM,ASTRAZENECA,2021-02,84447,-3.47,-65.1
AM,ASTRAZENECA,2021-03,88314,-3.47,-65.1
AM,ASTRAZENECA,2021-04,102213,-3.47,-65.1
AM,ASTRAZENECA,2021-05,167927,-3.47,-65.1
AM,CORONAVAC,2021-01,64764,-3.47,-65.1
AM,CORONAVAC,2021-02,135820,-3.47,-65.1
AM,CORONAVAC,2021-03,159245,-3.47,-65.1
AM,CORONAVAC,2021-04,191353,-3.47,-65.1
AM,CORONAVAC,2021-05,86940,-3.47,-65.1
AP,ASTRAZENECA,2021-01,1176,1.4100000000000001,-51.77
AP,ASTRAZENECA,2021-02,5104,1.4100000000000001,-51.77
AP,ASTRAZENECA,2021-03,4640,1.4100000000000001,-51.77
AP,ASTRAZENECA,2021-04,23052,1.4100000000000001,-51.77
AP,ASTRAZENECA,2021-05,37427,1.4100000000000001,-51.77
AP,CORONAVAC,2021-01,10378,1.4100000000000001,-51.77
AP,CORONAVAC,2021-02,17928,1.4100000000000001,-51.77
AP,CORONAVAC,2021-03,40051,1.4100000000000001,-51.77
AP,CORONAVAC,2021-04,33956,1.4100000000000001,-51.77
BA,ASTRAZENECA,2021-01,55899,-13.29,-41.71
BA,ASTRAZENECA,2021-02,102814,-13.29,-41.71
BA,ASTRAZENECA,2021-03,358778,-13.29,-41.71
BA,ASTRAZENECA,2021-04,468126,-13.29,-41.71
BA,ASTRAZENECA,2021-05,809992,-13.29,-41.71
BA,CORONAVAC,2021-01,143221,-13.29,-41.71
BA,CORONAVAC,2021-02,305260,-13.29,-41.71
BA,CORONAVAC,2021-03,973079,-13.29,-41.71
